Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-24,2022,2,24,,4,,-5,,-0.6,,18.6,,0,,,M,2.2,,,M,2,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-25,2022,2,25,,5,,-5,,0.4,,17.6,,0,,0,,0,,0,,,,21,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-26,2022,2,26,,11,,-3,,4.1,,13.9,,0,,6.2,,0,,6.2,,,,11,,60,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-27,2022,2,27,,11,,4,,7.6,,10.4,,0,,19.3,,0,,19.3,,,,18,,42,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-28,2022,2,28,,9,,6,,7.5,,10.5,,0,,11.3,,0,,11.3,,,,8,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-01,2022,3,1,,13,,7,,10.1,,7.9,,0,,3.5,,0,,3.5,,,,27,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-02,2022,3,2,,11,,6,,8.7,,9.3,,0,,4.7,,0,,4.7,,,,10,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-03,2022,3,3,,10,,5,,7.3,,10.7,,0,,0.2,,0,,0.2,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-04,2022,3,4,,9,,5,,6.7,,11.3,,0,,0,,0,,0,,,,28,,45,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-05,2022,3,5,,9,,3,,6.1,,11.9,,0,,0,,0,,0,,,,30,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-06,2022,3,6,,10,,-1,,4.5,,13.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-07,2022,3,7,,10,,3,,6.3,,11.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-08,2022,3,8,,10,,4,,7,,11,,0,,0.3,,0,,0.3,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-09,2022,3,9,,8,,-1,,3.3,,14.7,,0,,0,,0,,0,,,,26,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-10,2022,3,10,,7,,-2,,2.4,,15.6,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-11,2022,3,11,,6,,2,,3.9,,14.1,,0,,3.3,,0,,3.3,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-12,2022,3,12,,11,,3,,7.2,,10.8,,0,,14.1,,0,,14.1,,,,12,,43,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-13,2022,3,13,,11,,6,,8.3,,9.7,,0,,8.3,,0,,8.3,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-14,2022,3,14,,8,,6,,7.1,,10.9,,0,,35.9,,0,,35.9,,,,11,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-15,2022,3,15,,10,,6,,7.7,,10.3,,0,,3.2,,0,,3.2,,,,5,,38,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-16,2022,3,16,,11,,2,,6.5,,11.5,,0,,0,,0,,0,,,,14,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-17,2022,3,17,,8,,5,,6.6,,11.4,,0,,17.5,,0,,17.5,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-18,2022,3,18,,10,,6,,7.8,,10.2,,0,,4.1,,0,,4.1,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-19,2022,3,19,,10,,6,,8,,10,,0,,2,,0,,2,,,,28,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-20,2022,3,20,,7,,1,,4.4,,13.6,,0,,8.1,,0,,8.1,,,,17,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-21,2022,3,21,,8,,5,,6.5,,11.5,,0,,21.6,,0,,21.6,,,,9,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-22,2022,3,22,,13,,7,,9.8,,8.2,,0,,7.9,,0,,7.9,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-23,2022,3,23,,12,,6,,8.9,,9.1,,0,,4,,0,,4,,,,29,,51,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-24,2022,3,24,,10,,2,,5.7,,12.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-25,2022,3,25,,13,,5,,8.7,,9.3,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-26,2022,3,26,,13,,7,,9.9,,8.1,,0,,6,,0,,6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-27,2022,3,27,,12,,8,,10,,8,,0,,2,,0,,2,,,,31,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-28,2022,3,28,,11,,5,,8.3,,9.7,,0,,3.9,,0,,3.9,,,,29,,38,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-29,2022,3,29,,15,,4,,9.7,,8.3,,0,,1.6,,0,,1.6,,,,20,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-30,2022,3,30,,12,,6,,8.9,,9.1,,0,,0.8,,0,,0.8,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-03-31,2022,3,31,,11,,6,,8.3,,9.7,,0,,0,,0,,0,,,,28,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-01,2022,4,1,,9,,6,,7.5,,10.5,,0,,2.2,,0,,2.2,,,,13,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-02,2022,4,2,,12,,4,,8.2,,9.8,,0,,0.4,,0,,0.4,,,,15,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-03,2022,4,3,,9,,6,,7.6,,10.4,,0,,16.6,,0,,16.6,,,,13,,57,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-04,2022,4,4,,10,,6,,7.9,,10.1,,0,,5.4,,0,,5.4,,,,15,,67,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-05,2022,4,5,,11,,5,,8.4,,9.6,,0,,0.3,,0,,0.3,,,,28,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-06,2022,4,6,,11,,2,,6.5,,11.5,,0,,0,,0,,0,,,,20,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-07,2022,4,7,,13,,6,,9.6,,8.4,,0,,0.2,,0,,0.2,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-08,2022,4,8,,12,,7,,9.3,,8.7,,0,,4.4,,0,,4.4,,,,29,,57,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-09,2022,4,9,,10,,5,,7.4,,10.6,,0,,0,,0,,0,,,,23,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-10,2022,4,10,,9,,3,,6,,12,,0,,1.4,,0,,1.4,,,,12,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-11,2022,4,11,,13,,1,,7.1,,10.9,,0,,0,,0,,0,,,,29,,53,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-12,2022,4,12,,8,,3,,5.3,,12.7,,0,,8.6,,0,,8.6,,,,9,,57,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-13,2022,4,13,,10,,0,,4.9,,13.1,,0,,0.2,,0,,0.2,,,,29,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-14,2022,4,14,,11,,-2,,4.6,,13.4,,0,,0,,0,,0,,,,29,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-15,2022,4,15,,9,,3,,5.7,,12.3,,0,,4.3,,0,,4.3,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-16,2022,4,16,,11,,-1,,4.9,,13.1,,0,,0,,0,,0,,,,20,,40,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-17,2022,4,17,,13,,3,,7.8,,10.2,,0,,0,,0,,0,,,,13,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-18,2022,4,18,,12,,6,,8.7,,9.3,,0,,19.2,,0,,19.2,,,,14,,69,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-19,2022,4,19,,11,,6,,8.4,,9.6,,0,,0,T,0,,0,T,,,17,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-20,2022,4,20,,14,,2,,8.3,,9.7,,0,,5,,0,,5,,,,12,,69,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-21,2022,4,21,,13,,6,,9.3,,8.7,,0,,9.3,,0,,9.3,,,,10,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-22,2022,4,22,,13,,6,,9.5,,8.5,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-23,2022,4,23,,15,,4,,9.5,,8.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-24,2022,4,24,,17,,5,,11.1,,6.9,,0,,1,,0,,1,,,,28,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-25,2022,4,25,,14,,8,,10.6,,7.4,,0,,6.2,,0,,6.2,,,,18,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-26,2022,4,26,,12,,4,,7.9,,10.1,,0,,1,,0,,1,,,,22,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-27,2022,4,27,,12,,4,,7.7,,10.3,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-28,2022,4,28,,12,,3,,7.5,,10.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-29,2022,4,29,,15,,7,,10.9,,7.1,,0,,0,T,0,,0,T,,,12,,40,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-04-30,2022,4,30,,14,,8,,11.2,,6.8,,0,,8.9,,0,,8.9,,,,30,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-01,2022,5,1,,16,,5,,10.4,,7.6,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-02,2022,5,2,,15,,9,,11.9,,6.1,,0,,2.3,,0,,2.3,,,,28,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-03,2022,5,3,,13,,9,,11,,7,,0,,2.3,,0,,2.3,,,,18,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-04,2022,5,4,,12,,8,,10.1,,7.9,,0,,1.9,,0,,1.9,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-05,2022,5,5,,11,,8,,9.4,,8.6,,0,,11.6,,0,,11.6,,,,12,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-06,2022,5,6,,NA,M,,M,,M,,M,,M,0,,0,,0,,,,20,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-07,2022,5,7,,14,,6,,9.7,,8.3,,0,,0,,0,,0,,,,21,,50,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-08,2022,5,8,,12,,6,,8.8,,9.2,,0,,3.2,,0,,3.2,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-09,2022,5,9,,14,,7,,10.5,,7.5,,0,,3.5,,0,,3.5,,,,19,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-10,2022,5,10,,15,,8,,11.3,,6.7,,0,,0.9,,0,,0.9,,,,16,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-11,2022,5,11,,14,,7,,10.7,,7.3,,0,,0.9,,0,,0.9,,,,13,,40,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-12,2022,5,12,,11,,7,,8.7,,9.3,,0,,6.6,,0,,6.6,,,,12,,58,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-13,2022,5,13,,13,,4,,8.8,,9.2,,0,,1.5,,0,,1.5,,,,25,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-14,2022,5,14,,14,,7,,10.6,,7.4,,0,,3.8,,0,,3.8,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-15,2022,5,15,,14,,11,,12.3,,5.7,,0,,24.3,,0,,24.3,,,,26,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-16,2022,5,16,,16,,8,,11.8,,6.2,,0,,1.1,,0,,1.1,,,,24,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-17,2022,5,17,,15,,6,,10.5,,7.5,,0,,0,,0,,0,,,,20,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-18,2022,5,18,,16,,8,,11.9,,6.1,,0,,5.7,,0,,5.7,,,,21,,62,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-19,2022,5,19,,15,,8,,11.4,,6.6,,0,,0,,0,,0,,,,30,,56,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-20,2022,5,20,,15,,4,,9.5,,8.5,,0,,0,,0,,0,,,,19,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-21,2022,5,21,,18,,5,,11.6,,6.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-22,2022,5,22,,20,,8,,13.8,,4.2,,0,,0,,0,,0,,,,18,,40,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-23,2022,5,23,,17,,12,,14.2,,3.8,,0,,0,T,0,,0,T,,,20,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-24,2022,5,24,,16,,10,,12.9,,5.1,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-25,2022,5,25,,19,,10,,14.5,,3.5,,0,,0.6,,0,,0.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-26,2022,5,26,,16,,10,,13.3,,4.7,,0,,8.8,,0,,8.8,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-27,2022,5,27,,16,,10,,12.9,,5.1,,0,,8,,0,,8,,,,20,,43,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-28,2022,5,28,,15,,9,,11.8,,6.2,,0,,0,,0,,0,,,,28,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-29,2022,5,29,,16,,11,,13.4,,4.6,,0,,0,,0,,0,,,,20,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-30,2022,5,30,,14,,10,,12,,6,,0,,5.1,,0,,5.1,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-05-31,2022,5,31,,18,,11,,14.4,,3.6,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-01,2022,6,1,,18,,10,,14.3,,3.7,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-02,2022,6,2,,20,,13,,16.8,,1.2,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-03,2022,6,3,,17,,14,,15.6,,2.4,,0,,9,,0,,9,,,,10,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-04,2022,6,4,,21,,12,,16.5,,1.5,,0,,8,,0,,8,,,,9,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-05,2022,6,5,,20,,12,,16.1,,1.9,,0,,12.5,,0,,12.5,,,,20,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-06,2022,6,6,,17,,9,,13.3,,4.7,,0,,0,,0,,0,,,,22,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-07,2022,6,7,,18,,9,,13.5,,4.5,,0,,0.8,,0,,0.8,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-08,2022,6,8,,20,,13,,16.3,,1.7,,0,,0.2,,0,,0.2,,,,12,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-09,2022,6,9,,15,,13,,13.7,,4.3,,0,,26.3,,0,,26.3,,,,9,,39,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-10,2022,6,10,,21,,13,,17,,1,,0,,0.6,,0,,0.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-11,2022,6,11,,20,,12,,15.9,,2.1,,0,,0.2,,0,,0.2,,,,17,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-12,2022,6,12,,17,,12,,14.6,,3.4,,0,,4.5,,0,,4.5,,,,27,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-13,2022,6,13,,17,,13,,14.7,,3.3,,0,,0,,0,,0,,,,28,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-14,2022,6,14,,18,,12,,14.8,,3.2,,0,,0,,0,,0,,,,28,,49,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-15,2022,6,15,,16,,12,,13.8,,4.2,,0,,0.6,,0,,0.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-16,2022,6,16,,18,,12,,15,,3,,0,,0.6,,0,,0.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-17,2022,6,17,,18,,10,,14.2,,3.8,,0,,0.4,,0,,0.4,,,,30,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-18,2022,6,18,,19,,12,,15.2,,2.8,,0,,4.5,,0,,4.5,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-19,2022,6,19,,18,,12,,15.3,,2.7,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-06-20,2022,6,20,,19,,11,,15.2,,2.8,,0,,0,,0,,0,,,,19,,37,
